ID,SurveyID,Dive,Lat,Lon,Location
153081,1507Auster,1507Auster-5,4901916.90662165,625192.717601402,NA
158158,1407Auster,1407Auster-11,4894916.90662165,613192.717601402,NA
161064,1407Auster,1407Auster-12,4890916.90662165,611192.717601402,NA
163968,1407Auster,1407Auster-16,4886916.90662165,607192.717601402,NA
163969,1407Auster,1407Auster-16,4886916.90662165,608192.717601402,NA
165423,HB1903,HB1903-R2115,4884916.90662165,608192.717601402,Schoodic Ridge
165425,1407Auster,1407Auster-13,4884916.90662165,610192.717601402,NA
166150,HB1903,HB1903-R2115,4883916.90662165,608192.717601402,Schoodic Ridge
166877,1407Auster,1407Auster-10,4882916.90662165,608192.717601402,NA
174847,1507Auster,1507Auster-9,4871916.90662165,581192.717601402,NA
177078,HB1702,HB1702-R2014,4868916.90662165,631192.717601402,Grand Manan Banks
177079,HB1702,HB1702-R2014,4868916.90662165,632192.717601402,Grand Manan Banks
177805,HB1702,HB1702-R2014,4867916.90662165,631192.717601402,Grand Manan Banks
217775,HB1903,HB1903-R2116,4812916.90662165,616192.717601402,Jordan Basin
217776,HB1903,HB1903-R2116,4812916.90662165,617192.717601402,Jordan Basin
218502,HB1903,HB1903-R2116,4811916.90662165,616192.717601402,Jordan Basin
218504,HB1903,HB1903-R2116,4811916.90662165,618192.717601402,Jordan Basin
219209,1407Auster,1407Auster-6,4810916.90662165,596192.717601402,NA
219210,1407Auster,1407Auster-6,4810916.90662165,597192.717601402,NA
219231,HB1903,HB1903-R2116,4810916.90662165,618192.717601402,Jordan Basin
219232,HB1903,HB1903-R2116,4810916.90662165,619192.717601402,Jordan Basin
219936,1407Auster,1407Auster-18,4809916.90662165,596192.717601402,NA
221389,1407Auster,1407Auster-19,4807916.90662165,595192.717601402,NA
222118,HB1903,HB1903-R2114,4806916.90662165,597192.717601402,Jordan Basin
222845,HB1903,HB1903-R2114,4805916.90662165,597192.717601402,Jordan Basin
223571,HB1903,HB1903-8,4804916.90662165,596192.717601402,Powell-Munson Intercanyon
223572,HB1903,HB1903-8,4804916.90662165,597192.717601402,Powell-Munson Intercanyon
225025,1307Auster,1307Auster-4,4802916.90662165,596192.717601402,NA
225027,1307Auster,1307Auster-12,4802916.90662165,598192.717601402,NA
225749,1307Auster,1307Auster-14,4801916.90662165,593192.717601402,NA
225750,1307Auster,1307Auster-R2013,4801916.90662165,594192.717601402,Jordan Basin
225751,1307Auster,1307Auster-11,4801916.90662165,595192.717601402,NA
225752,1407Auster,1407Auster-1,4801916.90662165,596192.717601402,NA
225753,1307Auster,1307Auster-7,4801916.90662165,597192.717601402,NA
225754,1307Auster,1307Auster-15,4801916.90662165,598192.717601402,NA
226476,1307Auster,1307Auster-14,4800916.90662165,593192.717601402,NA
226477,HB1702,HB1702-R2013,4800916.90662165,594192.717601402,Jordan Basin
226479,1307Auster,1307Auster-3,4800916.90662165,596192.717601402,NA
227203,HB1702,HB1702-R2013,4799916.90662165,593192.717601402,Jordan Basin
227204,HB1702,HB1702-R2013,4799916.90662165,594192.717601402,Jordan Basin
227226,HB1402,HB1402-R1710,4799916.90662165,616192.717601402,Jordan Basin
227934,1307Auster,1307Auster-10,4798916.90662165,597192.717601402,NA
227955,HB1402,HB1402-R1710,4798916.90662165,618192.717601402,Jordan Basin
228660,1307Auster,1307Auster-2,4797916.90662165,596192.717601402,NA
228661,1407Auster,1407Auster-3,4797916.90662165,597192.717601402,NA
228678,1407Auster,1407Auster-17,4797916.90662165,614192.717601402,NA
