Genus,Polyp_dimorphism,Polyp_retraction,Aragonite,Calcite,Scleroprotein,Polyp_diameter,Height
Acanella,0,1,0,70,30,0.3149932049440887,5.366624558566097
Acanthogorgia,0,0,0,30,70,0.42156666356393874,5.0832039869290915
Anthomastus,1,1,0,100,0,2.0371536294770847,4.778619164278448
Anthothela,0,1,0,100,0,0.902354066135282,4.920102572930032
Balticina,1,1,0,100,0,1.4562867329399256,5.019969373499338
Bathypathes,0,0,0,0,100,0.9415685390584236,4.933934219165985
Chrysogorgia,0,1,0,100,0,-0.23245762628775177,5.2164653842349065
Clavularia,0,1,0,100,0,0.407629430937541,2.3608540011180215
Desmophyllum,0,1,100,0,0,3.758871825933971,4.334541868102138
Distichoptilum,1,1,0,100,0,0.7178397931503168,5.5579856925446185
Funiculina,1,1,0,100,0,0.6678293725756554,4.401992647314759
Javania,0,1,100,0,0,3.264231526588998,3.4995332823830174
Keratoisis,0,1,0,70,30,0.7884038829985525,5.91350300563827
Kophobelemnon,1,1,0,100,0,1.3688090467788712,4.375757021660286
Lateothela,0,1,0,100,0,1.0986122886681098,5.0024149326494
Lophelia,0,1,100,0,0,2.127854650645904,5.057461626447756
Paragorgia,1,1,0,100,0,1.1967732655201635,6.7723173080870325
Paramuricea,0,1,0,30,70,0.4633698320833683,5.513976982952502
Parantipathes,0,0,0,0,100,0.7997569156182036,5.762680115903686
Pennatula,1,1,0,100,0,-0.00904074465214907,5.942536873484558
Primnoa,0,0,0,100,0,1.0676172594677804,6.848535919322166
Protoptilum,1,1,0,100,0,0.5596157879354227,4.055863575403819
Radicipes,0,1,0,100,0,0.0769610411361284,6.802394763324311
Solenosmilia,0,1,100,0,0,1.4678743481123135,4.10629371917324
Stauropathes,0,0,0,0,100,1.791759469228055,4.798321774593639
Stichopathes,0,0,0,0,100,-0.10397259038297822,6.663776167079789
Swiftia,0,1,0,30,70,0.12536532839550502,4.249209272783016
Telopathes,0,0,0,0,100,1.9600947840472696,6.684611727667927
Thouarella,0,0,0,100,0,-0.2975827749068287,5.0755690496184265
Umbellula,1,1,0,100,0,1.2331593690108869,6.248062216681136
